NumberOfServers,NumberOfRequests,Lmbda,Eta,OptCost,DC,LDC,RobustFtp
10,1000,0,0,8685,11439,8685,10117
10,1000,0,0,8685,11439,8685,10117
10,1000,0,0,8685,11439,8685,10117
10,1000,0,0,8685,11439,8685,10117
10,1000,0,505151,8685,11439,8891,10313
10,1000,0,615952,8685,11439,10945,12015
10,1000,0,1212205,8685,11439,8685,10117
10,1000,0,1474729,8685,11439,9063,10117
10,1000,0,1657636,8685,11439,8685,10117
10,1000,0,2144483,8685,11439,10473,11851
10,1000,0,2378304,8685,11439,10475,11873
10,1000,0,2950446,8685,11439,8685,10117
10,1000,0,3353199,8685,11439,8685,10117
10,1000,0,4317904,8685,11439,12603,13877
10,1000,0,4172933,8685,11439,10787,12219
10,1000,0,4426776,8685,11439,8685,10117
10,1000,0,5898038,8685,11439,9087,10513
10,1000,0,5769014,8685,11439,13221,14303
10,1000,0,5384599,8685,11439,11157,12237
10,1000,0,5900177,8685,11439,10797,12055
10,1000,0,6681882,8685,11439,10631,11999
10,1000,0,6944949,8685,11439,10827,12061
10,1000,0,6151418,8685,11439,12421,13727
10,1000,0,7381658,8685,11439,11015,12261
10,1000,0,8820795,8685,11439,10961,12209
10,1000,0,7693998,8685,11439,10639,12015
10,1000,0,8174848,8685,11439,9301,10701
10,1000,0,8853250,8685,11439,10591,11869
10,1000,0,8885065,8685,11439,11337,12221
10,1000,0,9362762,8685,11439,9004,10388
10,1000,0,9089374,8685,11439,11214,12280
10,1000,0,10307365,8685,11439,11199,12443
10,1000,0,10364124,8685,11439,9327,10745
10,1000,0,10844540,8685,11439,11365,12071
10,1000,0,11070870,8685,11439,11035,12287
10,1000,0,11802413,8685,11439,10631,12009
10,1000,0,11987918,8685,11439,10891,12087
10,1000,0,12330272,8685,11439,10935,12199
10,1000,0,12184626,8685,11439,11175,12217
10,1000,0,12732344,8685,11439,11123,12289
10,1000,0.1,0,8685,11439,8711,10117
10,1000,0.1,0,8685,11439,8711,10117
10,1000,0.1,0,8685,11439,8711,10117
10,1000,0.1,0,8685,11439,8711,10117
10,1000,0.1,505151,8685,11439,8721,10313
10,1000,0.1,615952,8685,11439,8711,12015
10,1000,0.1,1212205,8685,11439,8711,10117
10,1000,0.1,1474729,8685,11439,8711,10117
10,1000,0.1,1657636,8685,11439,8711,10117
10,1000,0.1,2144483,8685,11439,8711,11851
10,1000,0.1,2378304,8685,11439,8711,11873
10,1000,0.1,2950446,8685,11439,8711,10117
10,1000,0.1,3353199,8685,11439,8711,10117
10,1000,0.1,4317904,8685,11439,8725,13877
10,1000,0.1,4172933,8685,11439,8711,12219
10,1000,0.1,4426776,8685,11439,8711,10117
10,1000,0.1,5898038,8685,11439,8717,10513
10,1000,0.1,5769014,8685,11439,8785,14303
10,1000,0.1,5384599,8685,11439,8713,12237
10,1000,0.1,5900177,8685,11439,8721,12055
10,1000,0.1,6681882,8685,11439,8719,11999
10,1000,0.1,6944949,8685,11439,8725,12061
10,1000,0.1,6151418,8685,11439,8711,13727
10,1000,0.1,7381658,8685,11439,8733,12261
10,1000,0.1,8820795,8685,11439,8743,12209
10,1000,0.1,7693998,8685,11439,8767,12015
10,1000,0.1,8174848,8685,11439,8735,10701
10,1000,0.1,8853250,8685,11439,8725,11869
10,1000,0.1,8885065,8685,11439,8923,12221
10,1000,0.1,9362762,8685,11439,8757,10388
10,1000,0.1,9089374,8685,11439,8711,12280
10,1000,0.1,10307365,8685,11439,8727,12443
10,1000,0.1,10364124,8685,11439,8759,10745
10,1000,0.1,10844540,8685,11439,8737,12071
10,1000,0.1,11070870,8685,11439,8729,12287
10,1000,0.1,11802413,8685,11439,8717,12009
10,1000,0.1,11987918,8685,11439,8729,12087
10,1000,0.1,12330272,8685,11439,8921,12199
10,1000,0.1,12184626,8685,11439,8731,12217
10,1000,0.1,12732344,8685,11439,8819,12289
10,1000,0.2,0,8685,11439,9411,10117
10,1000,0.2,0,8685,11439,9411,10117
10,1000,0.2,0,8685,11439,9411,10117
10,1000,0.2,0,8685,11439,9411,10117
10,1000,0.2,505151,8685,11439,9421,10313
10,1000,0.2,615952,8685,11439,9411,12015
10,1000,0.2,1212205,8685,11439,9411,10117
10,1000,0.2,1474729,8685,11439,9411,10117
10,1000,0.2,1657636,8685,11439,9411,10117
10,1000,0.2,2144483,8685,11439,9411,11851
10,1000,0.2,2378304,8685,11439,9411,11873
10,1000,0.2,2950446,8685,11439,9411,10117
10,1000,0.2,3353199,8685,11439,9411,10117
10,1000,0.2,4317904,8685,11439,9425,13877
10,1000,0.2,4172933,8685,11439,9411,12219
10,1000,0.2,4426776,8685,11439,9411,10117
10,1000,0.2,5898038,8685,11439,9411,10513
10,1000,0.2,5769014,8685,11439,9477,14303
10,1000,0.2,5384599,8685,11439,9397,12237
10,1000,0.2,5900177,8685,11439,9397,12055
10,1000,0.2,6681882,8685,11439,9419,11999
10,1000,0.2,6944949,8685,11439,9425,12061
10,1000,0.2,6151418,8685,11439,9411,13727
10,1000,0.2,7381658,8685,11439,9433,12261
10,1000,0.2,8820795,8685,11439,9429,12209
10,1000,0.2,7693998,8685,11439,9433,12015
10,1000,0.2,8174848,8685,11439,9411,10701
10,1000,0.2,8853250,8685,11439,9411,11869
10,1000,0.2,8885065,8685,11439,9407,12221
10,1000,0.2,9362762,8685,11439,9411,10388
10,1000,0.2,9089374,8685,11439,9397,12280
10,1000,0.2,10307365,8685,11439,9411,12443
10,1000,0.2,10364124,8685,11439,9417,10745
10,1000,0.2,10844540,8685,11439,9397,12071
10,1000,0.2,11070870,8685,11439,9429,12287
10,1000,0.2,11802413,8685,11439,9415,12009
10,1000,0.2,11987918,8685,11439,9313,12087
10,1000,0.2,12330272,8685,11439,9425,12199
10,1000,0.2,12184626,8685,11439,9409,12217
10,1000,0.2,12732344,8685,11439,9439,12289
10,1000,0.3,0,8685,11439,9523,10117
10,1000,0.3,0,8685,11439,9523,10117
10,1000,0.3,0,8685,11439,9523,10117
10,1000,0.3,0,8685,11439,9523,10117
10,1000,0.3,505151,8685,11439,9523,10313
10,1000,0.3,615952,8685,11439,9523,12015
10,1000,0.3,1212205,8685,11439,9523,10117
10,1000,0.3,1474729,8685,11439,9523,10117
10,1000,0.3,1657636,8685,11439,9523,10117
10,1000,0.3,2144483,8685,11439,9523,11851
10,1000,0.3,2378304,8685,11439,9523,11873
10,1000,0.3,2950446,8685,11439,9523,10117
10,1000,0.3,3353199,8685,11439,9523,10117
10,1000,0.3,4317904,8685,11439,9523,13877
10,1000,0.3,4172933,8685,11439,9523,12219
10,1000,0.3,4426776,8685,11439,9523,10117
10,1000,0.3,5898038,8685,11439,9523,10513
10,1000,0.3,5769014,8685,11439,9589,14303
10,1000,0.3,5384599,8685,11439,9523,12237
10,1000,0.3,5900177,8685,11439,9523,12055
10,1000,0.3,6681882,8685,11439,9531,11999
10,1000,0.3,6944949,8685,11439,9523,12061
10,1000,0.3,6151418,8685,11439,9523,13727
10,1000,0.3,7381658,8685,11439,9529,12261
10,1000,0.3,8820795,8685,11439,9529,12209
10,1000,0.3,7693998,8685,11439,9523,12015
10,1000,0.3,8174848,8685,11439,9523,10701
10,1000,0.3,8853250,8685,11439,9523,11869
10,1000,0.3,8885065,8685,11439,9523,12221
10,1000,0.3,9362762,8685,11439,9523,10388
10,1000,0.3,9089374,8685,11439,9523,12280
10,1000,0.3,10307365,8685,11439,9523,12443
10,1000,0.3,10364124,8685,11439,9529,10745
10,1000,0.3,10844540,8685,11439,9523,12071
10,1000,0.3,11070870,8685,11439,9531,12287
10,1000,0.3,11802413,8685,11439,9527,12009
10,1000,0.3,11987918,8685,11439,9523,12087
10,1000,0.3,12330272,8685,11439,9523,12199
