NumberOfServers,NumberOfRequests,Lmbda,Eta,OptCost,DC,LDC,RobustFtp
100,1000,0,0,9479,14603,9479,11689
100,1000,0,0,9479,14603,9479,11689
100,1000,0,0,9479,14603,9479,11689
100,1000,0,0,9479,14603,9479,11689
100,1000,0,0,9479,14603,9479,11689
100,1000,0,5850494,9479,14603,9791,11993
100,1000,0,2829974,9479,14603,9757,11967
100,1000,0,11737932,9479,14603,11820,14030
100,1000,0,4258887,9479,14603,10645,12833
100,1000,0,7500434,9479,14603,10536,12620
100,1000,0,17467612,9479,14603,12006,13892
100,1000,0,22541165,9479,14603,11452,13642
100,1000,0,21706107,9479,14603,10903,12717
100,1000,0,23442214,9479,14603,14282,14778
100,1000,0,19745596,9479,14603,11924,13784
100,1000,0,33595201,9479,14603,11763,13589
100,1000,0,42604242,9479,14603,13092,14900
100,1000,0,30140810,9479,14603,11506,13576
100,1000,0,39517995,9479,14603,12117,13927
100,1000,0,36845626,9479,14603,13670,15548
100,1000,0,51577341,9479,14603,11149,12933
100,1000,0,50076316,9479,14603,16269,15773
100,1000,0,49621323,9479,14603,13645,15703
100,1000,0,51931078,9479,14603,16530,22387
100,1000,0,54684772,9479,14603,13156,14964
100,1000,0,66196327,9479,14603,13599,15525
100,1000,0,60379400,9479,14603,15883,16617
100,1000,0,59476488,9479,14603,13437,15123
100,1000,0,61426490,9479,14603,13269,15081
100,1000,0,64689084,9479,14603,17395,24749
100,1000,0,79268399,9479,14603,16416,21723
100,1000,0,80270340,9479,14603,18495,20571
100,1000,0,77303774,9479,14603,17948,25271
100,1000,0,82760735,9479,14603,18221,22217
100,1000,0,74546365,9479,14603,18671,23535
100,1000,0,94457293,9479,14603,17637,22029
100,1000,0,95887508,9479,14603,17670,23563
100,1000,0,96703017,9479,14603,27124,26621
100,1000,0,99421217,9479,14603,20040,26731
100,1000,0,87644945,9479,14603,18709,23201
100,1000,0,105704220,9479,14603,22652,29953
100,1000,0,103337438,9479,14603,17447,24545
100,1000,0,105988375,9479,14603,22578,14603
100,1000,0,102414591,9479,14603,22784,33767
100,1000,0,101776088,9479,14603,21379,26683
100,1000,0,116466726,9479,14603,22961,30527
100,1000,0,113980365,9479,14603,21362,25183
100,1000,0,114205392,9479,14603,25391,25823
100,1000,0,115517245,9479,14603,21361,29713
100,1000,0,114319732,9479,14603,18662,27697
100,1000,0.1,0,9479,14603,10209.339599609375,11689
100,1000,0.1,0,9479,14603,10209.339599609375,11689
100,1000,0.1,0,9479,14603,10209.339599609375,11689
100,1000,0.1,0,9479,14603,10209.339599609375,11689
100,1000,0.1,0,9479,14603,10209.339599609375,11689
100,1000,0.1,5850494,9479,14603,10300.373779296875,11993
100,1000,0.1,2829974,9479,14603,10334.07958984375,11967
100,1000,0.1,11737932,9479,14603,10381.5908203125,14030
100,1000,0.1,4258887,9479,14603,10312.85986328125,12833
100,1000,0.1,7500434,9479,14603,10248.93994140625,12620
100,1000,0.1,17467612,9479,14603,10679.716796875,13892
100,1000,0.1,22541165,9479,14603,10352.98974609375,13642
100,1000,0.1,21706107,9479,14603,10493.35205078125,12717
100,1000,0.1,23442214,9479,14603,11271.142333984375,14778
100,1000,0.1,19745596,9479,14603,10416.013427734375,13784
100,1000,0.1,33595201,9479,14603,10906.52197265625,13589
100,1000,0.1,42604242,9479,14603,10874.677001953125,14900
100,1000,0.1,30140810,9479,14603,11238.01806640625,13576
100,1000,0.1,39517995,9479,14603,11084.027099609375,13927
100,1000,0.1,36845626,9479,14603,12037.243896484375,15548
100,1000,0.1,51577341,9479,14603,11330.765380859375,12933
100,1000,0.1,50076316,9479,14603,12128.468017578125,15773
100,1000,0.1,49621323,9479,14603,11105.655029296875,15703
