NumberOfServers,NumberOfRequests,Lmbda,Eta,OptCost,DC,LDC,RobustFtp
100,1000,0,0,9479,14603,9479,11689
100,1000,0,0,9479,14603,9479,11689
100,1000,0,0,9479,14603,9479,11689
100,1000,0,0,9479,14603,9479,11689
100,1000,0,0,9479,14603,9479,11689
100,1000,0,14322016,9479,14603,10964,13000
100,1000,0,12725712,9479,14603,11102,13290
100,1000,0,6688485,9479,14603,11034,13094
100,1000,0,12162578,9479,14603,12095,13889
100,1000,0,11613873,9479,14603,12154,14110
100,1000,0,25576789,9479,14603,11487,13469
100,1000,0,28563598,9479,14603,12575,14103
100,1000,0,20529367,9479,14603,10448,12610
100,1000,0,23850367,9479,14603,13182,13972
100,1000,0,20011414,9479,14603,10661,12715
100,1000,0,37171841,9479,14603,12138,14188
100,1000,0,43829526,9479,14603,13391,15183
100,1000,0,37189559,9479,14603,13793,15651
100,1000,0,34614143,9479,14603,13874,15774
100,1000,0,39096973,9479,14603,13276,14972
100,1000,0,54260020,9479,14603,12542,14640
100,1000,0,52452530,9479,14603,15389,16799
100,1000,0,50792546,9479,14603,14097,15931
100,1000,0,57349281,9479,14603,12641,14481
100,1000,0,51704679,9479,14603,14654,16542
100,1000,0,69156806,9479,14603,13032,14586
100,1000,0,61478881,9479,14603,12004,13700
100,1000,0,68797643,9479,14603,13714,15314
100,1000,0,69647662,9479,14603,17571,22481
100,1000,0,75307936,9479,14603,17740,22117
100,1000,0,89248017,9479,14603,19940,26111
100,1000,0,80124319,9479,14603,16641,22519
100,1000,0,85270138,9479,14603,17469,22921
100,1000,0,85240967,9479,14603,16595,21893
100,1000,0,89917008,9479,14603,17898,20689
100,1000,0,101443414,9479,14603,20527,30821
100,1000,0,104284837,9479,14603,22768,33855
100,1000,0,92890200,9479,14603,19855,27897
100,1000,0,104788372,9479,14603,20847,28437
100,1000,0,103448897,9479,14603,24023,27797
100,1000,0,116108843,9479,14603,24838,14603
100,1000,0,108511640,9479,14603,22315,30355
100,1000,0,112738146,9479,14603,26911,14603
100,1000,0,109438101,9479,14603,24333,31393
100,1000,0,110449249,9479,14603,23779,14603
100,1000,0,121389452,9479,14603,26709,14603
100,1000,0,122373609,9479,14603,25833,14603
100,1000,0.1,0,9479,14603,10209.339599609375,11689
100,1000,0.1,0,9479,14603,10209.339599609375,11689
100,1000,0.1,0,9479,14603,10209.339599609375,11689
100,1000,0.1,0,9479,14603,10209.339599609375,11689
100,1000,0.1,0,9479,14603,10209.339599609375,11689
100,1000,0.1,14322016,9479,14603,10906.20068359375,13000
100,1000,0.1,12725712,9479,14603,10560.11181640625,13290
100,1000,0.1,6688485,9479,14603,10675.728515625,13094
100,1000,0.1,12162578,9479,14603,10462.61181640625,13889
100,1000,0.1,11613873,9479,14603,11321.3896484375,14110
100,1000,0.1,25576789,9479,14603,10455.988525390625,13469
100,1000,0.1,28563598,9479,14603,12343.399291992188,14103
100,1000,0.1,20529367,9479,14603,10750.546142578125,12610
100,1000,0.1,23850367,9479,14603,11700.28173828125,13972
100,1000,0.1,20011414,9479,14603,10264.4853515625,12715
100,1000,0.1,37171841,9479,14603,10932.573486328125,14188
100,1000,0.1,43829526,9479,14603,11146.83447265625,15183
100,1000,0.1,37189559,9479,14603,11147.609619140625,15651
100,1000,0.1,34614143,9479,14603,11742.103759765625,15774
100,1000,0.1,39096973,9479,14603,11342.85888671875,14972
100,1000,0.1,54260020,9479,14603,11272.249633789063,14640
100,1000,0.1,52452530,9479,14603,11941.626953125,16799
100,1000,0.1,50792546,9479,14603,11099.53173828125,15931
100,1000,0.1,57349281,9479,14603,11231.373291015625,14481
100,1000,0.1,51704679,9479,14603,11395.92236328125,16542
100,1000,0.1,69156806,9479,14603,11407.9775390625,14586
