NumberOfServers,NumberOfRequests,Lmbda,Eta,OptCost,DC,LDC,RobustFtp
5,1000,0,0,8685,11439,8685,10155
5,1000,0,0,8685,11439,8685,10155
5,1000,0,0,8685,11439,8685,10155
5,1000,0,0,8685,11439,8685,10155
5,1000,0,0,8685,11439,8685,10155
5,1000,0,15,8685,11439,8695,10155
5,1000,0,340,8685,11439,8903,10373
5,1000,0,66872,8685,11439,8685,10155
5,1000,0,226346,8685,11439,8685,10155
5,1000,0,522829,8685,11439,8685,10155
5,1000,0,968745,8685,11439,8685,10155
5,1000,0,1030341,8685,11439,8685,10155
5,1000,0,780869,8685,11439,8685,10155
5,1000,0,1132429,8685,11439,8883,10353
5,1000,0,995991,8685,11439,8697,10167
5,1000,0,1693943,8685,11439,10773,12071
5,1000,0,1323255,8685,11439,10441,11911
5,1000,0,1363388,8685,11439,8691,10155
5,1000,0,1768509,8685,11439,8685,10155
5,1000,0,1861209,8685,11439,10583,12053
5,1000,0,2441525,8685,11439,20381,11477
5,1000,0,2222787,8685,11439,8863,10325
5,1000,0,2312140,8685,11439,8877,10335
5,1000,0,2044319,8685,11439,12491,13923
5,1000,0,2367951,8685,11439,9063,10155
5,1000,0,3214605,8685,11439,10900,12334
5,1000,0,3225216,8685,11439,8772,10242
5,1000,0,2969354,8685,11439,10657,12081
5,1000,0,3070450,8685,11439,10927,12061
5,1000,0,3229699,8685,11439,10647,12107
5,1000,0,3445062,8685,11439,9313,10757
5,1000,0,3323989,8685,11439,10859,12295
5,1000,0,3360987,8685,11439,11177,15939
5,1000,0,3295460,8685,11439,10685,12099
5,1000,0,3641594,8685,11439,11307,16213
5,1000,0,4223008,8685,11439,11173,16005
5,1000,0,4240999,8685,11439,10823,12087
5,1000,0,4151877,8685,11439,11179,12103
5,1000,0,4168454,8685,11439,11017,15851
5,1000,0,4154709,8685,11439,11163,12413
5,1000,0,4602354,8685,11439,9257,14169
5,1000,0,4602611,8685,11439,11216,16018
5,1000,0,4827106,8685,11439,8691,10155
5,1000,0,4972862,8685,11439,11015,12285
5,1000,0,4652143,8685,11439,11113,15943
5,1000,0,5222444,8685,11439,11801,16419
5,1000,0,5526854,8685,11439,10617,11911
5,1000,0,5272346,8685,11439,8687,10155
5,1000,0,5417308,8685,11439,11413,12497
5,1000,0,5239287,8685,11439,10985,15663
5,1000,0.1,0,8685,11439,9281.467041015625,10155
5,1000,0.1,0,8685,11439,9281.467041015625,10155
5,1000,0.1,0,8685,11439,9281.467041015625,10155
5,1000,0.1,0,8685,11439,9281.467041015625,10155
5,1000,0.1,0,8685,11439,9281.467041015625,10155
5,1000,0.1,15,8685,11439,9291.09423828125,10155
5,1000,0.1,340,8685,11439,9323.047119140625,10373
5,1000,0.1,66872,8685,11439,9281.467041015625,10155
5,1000,0.1,226346,8685,11439,9281.467041015625,10155
5,1000,0.1,522829,8685,11439,9281.467041015625,10155
5,1000,0.1,968745,8685,11439,9281.467041015625,10155
5,1000,0.1,1030341,8685,11439,9281.467041015625,10155
5,1000,0.1,780869,8685,11439,9281.467041015625,10155
5,1000,0.1,1132429,8685,11439,9291.951904296875,10353
5,1000,0.1,995991,8685,11439,9295.239990234375,10167
5,1000,0.1,1693943,8685,11439,9432.639404296875,12071
5,1000,0.1,1323255,8685,11439,9321.067138671875,11911
5,1000,0.1,1363388,8685,11439,9290.529052734375,10155
5,1000,0.1,1768509,8685,11439,9281.467041015625,10155
5,1000,0.1,1861209,8685,11439,9332.94970703125,12053
5,1000,0.1,2441525,8685,11439,9362.64794921875,11477
5,1000,0.1,2222787,8685,11439,9475.79736328125,10325
5,1000,0.1,2312140,8685,11439,9459.908935546875,10335
5,1000,0.1,2044319,8685,11439,9420.294921875,13923
5,1000,0.1,2367951,8685,11439,9277.507080078125,10155
5,1000,0.1,3214605,8685,11439,9608.775146484375,12334
5,1000,0.1,3225216,8685,11439,9310.26611328125,10242
5,1000,0.1,2969354,8685,11439,9411.631103515625,12081
5,1000,0.1,3070450,8685,11439,9273.534423828125,12061
5,1000,0.1,3229699,8685,11439,9351.42333984375,12107
5,1000,0.1,3445062,8685,11439,9351.614990234375,10757
5,1000,0.1,3323989,8685,11439,9486.326904296875,12295
5,1000,0.1,3360987,8685,11439,9352.307373046875,15939
