NumberOfServers,NumberOfRequests,Lmbda,Eta,OptCost,DC,LDC,RobustFtp
10,1000,0,0,9479,12991,9479,11091
10,1000,0,0,9479,12991,9479,11091
10,1000,0,0,9479,12991,9479,11091
10,1000,0,0,9479,12991,9479,11091
10,1000,0,0,9479,12991,9479,11091
10,1000,0,10357,9479,12991,10714,12326
10,1000,0,4524,9479,12991,9479,11091
10,1000,0,7378,9479,12991,10670,12282
10,1000,0,4892,9479,12991,10538,12032
10,1000,0,18941,9479,12991,12272,13596
10,1000,0,32130,9479,12991,10632,12234
10,1000,0,25075,9479,12991,12177,13789
10,1000,0,19357,9479,12991,9871,11483
10,1000,0,28468,9479,12991,12644,12962
10,1000,0,37911,9479,12991,12221,13619
10,1000,0,41399,9479,12991,11410,12932
10,1000,0,55114,9479,12991,14352,14646
10,1000,0,49807,9479,12991,11813,13125
10,1000,0,53036,9479,12991,13027,13275
10,1000,0,56874,9479,12991,12456,14060
10,1000,0,70672,9479,12991,12317,13631
10,1000,0,67592,9479,12991,13173,14571
10,1000,0,73419,9479,12991,12020,13558
10,1000,0,64027,9479,12991,12380,13552
10,1000,0,75827,9479,12991,12786,14240
10,1000,0,82539,9479,12991,13356,14950
10,1000,0,92330,9479,12991,14350,15942
10,1000,0,76624,9479,12991,13041,14603
10,1000,0,81832,9479,12991,10931,12503
10,1000,0,94777,9479,12991,14532,15822
10,1000,0,107363,9479,12991,12575,12825
10,1000,0,94955,9479,12991,14482,15824
10,1000,0,96002,9479,12991,14370,14478
10,1000,0,104183,9479,12991,12934,14478
10,1000,0,113736,9479,12991,11390,12840
10,1000,0,131325,9479,12991,13628,14972
10,1000,0,119295,9479,12991,13789,15051
10,1000,0,114192,9479,12991,12400,13450
10,1000,0,114781,9479,12991,17293,15666
10,1000,0,132443,9479,12991,13891,15189
10,1000,0,133897,9479,12991,13274,14636
10,1000,0,140297,9479,12991,13606,13690
10,1000,0,134960,9479,12991,13762,13966
10,1000,0,140768,9479,12991,14839,15969
10,1000,0,150450,9479,12991,14633,15655
10,1000,0,151893,9479,12991,13824,15116
10,1000,0,153503,9479,12991,13288,14566
10,1000,0,162273,9479,12991,12828,14198
10,1000,0,161061,9479,12991,13696,14750
10,1000,0,162724,9479,12991,14544,14436
10,1000,0.1,0,9479,12991,9713,11091
10,1000,0.1,0,9479,12991,9713,11091
10,1000,0.1,0,9479,12991,9713,11091
10,1000,0.1,0,9479,12991,9713,11091
10,1000,0.1,0,9479,12991,9713,11091
10,1000,0.1,10357,9479,12991,9713,12326
10,1000,0.1,4524,9479,12991,9713,11091
10,1000,0.1,7378,9479,12991,9713,12282
10,1000,0.1,4892,9479,12991,9717,12032
10,1000,0.1,18941,9479,12991,9745,13596
10,1000,0.1,32130,9479,12991,9715,12234
10,1000,0.1,25075,9479,12991,9713,13789
10,1000,0.1,19357,9479,12991,9713,11483
10,1000,0.1,28468,9479,12991,9723,12962
10,1000,0.1,37911,9479,12991,10067,13619
10,1000,0.1,41399,9479,12991,9735,12932
10,1000,0.1,55114,9479,12991,9773,14646
10,1000,0.1,49807,9479,12991,9573,13125
10,1000,0.1,53036,9479,12991,9769,13275
10,1000,0.1,56874,9479,12991,9733,14060
10,1000,0.1,70672,9479,12991,9533,13631
10,1000,0.1,67592,9479,12991,9539,14571
10,1000,0.1,73419,9479,12991,9755,13558
10,1000,0.1,64027,9479,12991,9727,13552
10,1000,0.1,75827,9479,12991,10441,14240
10,1000,0.1,82539,9479,12991,9987,14950
10,1000,0.1,92330,9479,12991,11535,15942
10,1000,0.1,76624,9479,12991,10999,14603
10,1000,0.1,81832,9479,12991,9863,12503
10,1000,0.1,94777,9479,12991,9563,15822
10,1000,0.1,107363,9479,12991,11255,12825
10,1000,0.1,94955,9479,12991,11803,15824
10,1000,0.1,96002,9479,12991,10937,14478
10,1000,0.1,104183,9479,12991,11039,14478
10,1000,0.1,113736,9479,12991,9999,12840
10,1000,0.1,131325,9479,12991,9549,14972
10,1000,0.1,119295,9479,12991,10361,15051
10,1000,0.1,114192,9479,12991,10083,13450
10,1000,0.1,114781,9479,12991,9797,15666
10,1000,0.1,132443,9479,12991,9847,15189
10,1000,0.1,133897,9479,12991,10731,14636
10,1000,0.1,140297,9479,12991,9575,13690
10,1000,0.1,134960,9479,12991,9827,13966
10,1000,0.1,140768,9479,12991,9529,15969
10,1000,0.1,150450,9479,12991,9581,15655
10,1000,0.1,151893,9479,12991,9679,15116
10,1000,0.1,153503,9479,12991,10105,14566
10,1000,0.1,162273,9479,12991,9637,14198
10,1000,0.1,161061,9479,12991,9637,14750
10,1000,0.1,162724,9479,12991,9651,14436
10,1000,0.2,0,9479,12991,9825,11091
10,1000,0.2,0,9479,12991,9825,11091
10,1000,0.2,0,9479,12991,9825,11091
10,1000,0.2,0,9479,12991,9825,11091
10,1000,0.2,0,9479,12991,9825,11091
10,1000,0.2,10357,9479,12991,9825,12326
10,1000,0.2,4524,9479,12991,9825,11091
10,1000,0.2,7378,9479,12991,9825,12282
10,1000,0.2,4892,9479,12991,9829,12032
10,1000,0.2,18941,9479,12991,9827,13596
10,1000,0.2,32130,9479,12991,9827,12234
10,1000,0.2,25075,9479,12991,9825,13789
10,1000,0.2,19357,9479,12991,9825,11483
10,1000,0.2,28468,9479,12991,9829,12962
10,1000,0.2,37911,9479,12991,10151,13619
10,1000,0.2,41399,9479,12991,9847,12932
10,1000,0.2,55114,9479,12991,9863,14646
10,1000,0.2,49807,9479,12991,9843,13125
10,1000,0.2,53036,9479,12991,9969,13275
10,1000,0.2,56874,9479,12991,9839,14060
10,1000,0.2,70672,9479,12991,9813,13631
10,1000,0.2,67592,9479,12991,9823,14571
10,1000,0.2,73419,9479,12991,9841,13558
10,1000,0.2,64027,9479,12991,9847,13552
10,1000,0.2,75827,9479,12991,9827,14240
10,1000,0.2,82539,9479,12991,9983,14950
10,1000,0.2,92330,9479,12991,10467,15942
10,1000,0.2,76624,9479,12991,9879,14603
10,1000,0.2,81832,9479,12991,9823,12503
10,1000,0.2,94777,9479,12991,9843,15822
10,1000,0.2,107363,9479,12991,10135,12825
10,1000,0.2,94955,9479,12991,10307,15824
10,1000,0.2,96002,9479,12991,11171,14478
10,1000,0.2,104183,9479,12991,11075,14478
10,1000,0.2,113736,9479,12991,9997,12840
10,1000,0.2,131325,9479,12991,9809,14972
10,1000,0.2,119295,9479,12991,10693,15051
10,1000,0.2,114192,9479,12991,10005,13450
10,1000,0.2,114781,9479,12991,9961,15666
10,1000,0.2,132443,9479,12991,10015,15189
10,1000,0.2,133897,9479,12991,9813,14636
10,1000,0.2,140297,9479,12991,9853,13690
10,1000,0.2,134960,9479,12991,9995,13966
10,1000,0.2,140768,9479,12991,9793,15969
10,1000,0.2,150450,9479,12991,9821,15655
10,1000,0.2,151893,9479,12991,9961,15116
10,1000,0.2,153503,9479,12991,10161,14566
10,1000,0.2,162273,9479,12991,9931,14198
10,1000,0.2,161061,9479,12991,9811,14750
10,1000,0.2,162724,9479,12991,9965,14436
10,1000,0.3,0,9479,12991,9951,11091
10,1000,0.3,0,9479,12991,9951,11091
10,1000,0.3,0,9479,12991,9951,11091
10,1000,0.3,0,9479,12991,9951,11091
10,1000,0.3,0,9479,12991,9951,11091
10,1000,0.3,10357,9479,12991,9951,12326
10,1000,0.3,4524,9479,12991,9951,11091
10,1000,0.3,7378,9479,12991,9957,12282
10,1000,0.3,4892,9479,12991,9951,12032
10,1000,0.3,18941,9479,12991,9951,13596
10,1000,0.3,32130,9479,12991,9951,12234
10,1000,0.3,25075,9479,12991,9951,13789
10,1000,0.3,19357,9479,12991,9957,11483
10,1000,0.3,28468,9479,12991,9957,12962
10,1000,0.3,37911,9479,12991,10259,13619
10,1000,0.3,41399,9479,12991,10009,12932
10,1000,0.3,55114,9479,12991,9975,14646
10,1000,0.3,49807,9479,12991,9963,13125
10,1000,0.3,53036,9479,12991,10083,13275
10,1000,0.3,56874,9479,12991,9963,14060
10,1000,0.3,70672,9479,12991,9941,13631
10,1000,0.3,67592,9479,12991,9941,14571
10,1000,0.3,73419,9479,12991,9963,13558
10,1000,0.3,64027,9479,12991,9955,13552
10,1000,0.3,75827,9479,12991,9943,14240
10,1000,0.3,82539,9479,12991,10097,14950
10,1000,0.3,92330,9479,12991,10471,15942
10,1000,0.3,76624,9479,12991,9961,14603
10,1000,0.3,81832,9479,12991,10059,12503
10,1000,0.3,94777,9479,12991,9939,15822
10,1000,0.3,107363,9479,12991,10121,12825
10,1000,0.3,94955,9479,12991,10413,15824
10,1000,0.3,96002,9479,12991,11387,14478
10,1000,0.3,104183,9479,12991,9961,14478
10,1000,0.3,113736,9479,12991,10095,12840
10,1000,0.3,131325,9479,12991,9949,14972
10,1000,0.3,119295,9479,12991,10089,15051
10,1000,0.3,114192,9479,12991,10083,13450
10,1000,0.3,114781,9479,12991,10083,15666
10,1000,0.3,132443,9479,12991,10117,15189
10,1000,0.3,133897,9479,12991,9941,14636
10,1000,0.3,140297,9479,12991,9947,13690
10,1000,0.3,134960,9479,12991,10087,13966
10,1000,0.3,140768,9479,12991,9939,15969
10,1000,0.3,150450,9479,12991,9939,15655
10,1000,0.3,151893,9479,12991,10083,15116
10,1000,0.3,153503,9479,12991,10279,14566
10,1000,0.3,162273,9479,12991,10079,14198
10,1000,0.3,161061,9479,12991,10057,14750
10,1000,0.3,162724,9479,12991,10083,14436
10,1000,0.4,0,9479,12991,10047,11091
10,1000,0.4,0,9479,12991,10047,11091
10,1000,0.4,0,9479,12991,10047,11091
10,1000,0.4,0,9479,12991,10047,11091
10,1000,0.4,0,9479,12991,10047,11091
10,1000,0.4,10357,9479,12991,10047,12326
10,1000,0.4,4524,9479,12991,10047,11091
10,1000,0.4,7378,9479,12991,10055,12282
10,1000,0.4,4892,9479,12991,10047,12032
10,1000,0.4,18941,9479,12991,10047,13596
10,1000,0.4,32130,9479,12991,10047,12234
10,1000,0.4,25075,9479,12991,10047,13789
10,1000,0.4,19357,9479,12991,10051,11483
10,1000,0.4,28468,9479,12991,10055,12962
10,1000,0.4,37911,9479,12991,10585,13619
10,1000,0.4,41399,9479,12991,10047,12932
10,1000,0.4,55114,9479,12991,10047,14646
10,1000,0.4,49807,9479,12991,10047,13125
10,1000,0.4,53036,9479,12991,10193,13275
10,1000,0.4,56874,9479,12991,10047,14060
10,1000,0.4,70672,9479,12991,10173,13631
10,1000,0.4,67592,9479,12991,10047,14571
10,1000,0.4,73419,9479,12991,10047,13558
10,1000,0.4,64027,9479,12991,10143,13552
10,1000,0.4,75827,9479,12991,10047,14240
10,1000,0.4,82539,9479,12991,10209,14950
10,1000,0.4,92330,9479,12991,10527,15942
10,1000,0.4,76624,9479,12991,10171,14603
10,1000,0.4,81832,9479,12991,10173,12503
10,1000,0.4,94777,9479,12991,10167,15822
10,1000,0.4,107363,9479,12991,10209,12825
10,1000,0.4,94955,9479,12991,10747,15824
10,1000,0.4,96002,9479,12991,11547,14478
10,1000,0.4,104183,9479,12991,10051,14478
10,1000,0.4,113736,9479,12991,10197,12840
10,1000,0.4,131325,9479,12991,10049,14972
10,1000,0.4,119295,9479,12991,10181,15051
10,1000,0.4,114192,9479,12991,10203,13450
10,1000,0.4,114781,9479,12991,10205,15666
10,1000,0.4,132443,9479,12991,10209,15189
10,1000,0.4,133897,9479,12991,10047,14636
10,1000,0.4,140297,9479,12991,10173,13690
10,1000,0.4,134960,9479,12991,10203,13966
10,1000,0.4,140768,9479,12991,10047,15969
10,1000,0.4,150450,9479,12991,10047,15655
10,1000,0.4,151893,9479,12991,10197,15116
10,1000,0.4,153503,9479,12991,10585,14566
10,1000,0.4,162273,9479,12991,10193,14198
10,1000,0.4,161061,9479,12991,10171,14750
10,1000,0.4,162724,9479,12991,10197,14436
10,1000,0.5,0,9479,12991,10183,11091
10,1000,0.5,0,9479,12991,10183,11091
10,1000,0.5,0,9479,12991,10183,11091
10,1000,0.5,0,9479,12991,10183,11091
10,1000,0.5,0,9479,12991,10183,11091
10,1000,0.5,10357,9479,12991,10183,12326
10,1000,0.5,4524,9479,12991,10183,11091
10,1000,0.5,7378,9479,12991,10187,12282
10,1000,0.5,4892,9479,12991,10183,12032
10,1000,0.5,18941,9479,12991,10183,13596
10,1000,0.5,32130,9479,12991,10183,12234
