NumberOfServers,NumberOfRequests,Lmbda,Eta,OptCost,DC,LDC,RobustFtp
2,1000,0,0,15947,27617,15947,18641
2,1000,0,0,15947,27617,15947,18641
2,1000,0,0,15947,27617,15947,18641
2,1000,0,0,15947,27617,15947,18641
2,1000,0,0,15947,27617,15947,18641
2,1000,0,84133,15947,27617,23591,21577
2,1000,0,76742,15947,27617,19759,19071
2,1000,0,3839,15947,27617,23589,20937
2,1000,0,45945,15947,27617,15947,18641
2,1000,0,61471,15947,27617,23609,34895
2,1000,0,256405,15947,27617,15947,18641
2,1000,0,164778,15947,27617,15947,18641
2,1000,0,172662,15947,27617,15947,18641
2,1000,0,302142,15947,27617,23503,27233
2,1000,0,313641,15947,27617,19753,19071
2,1000,0,336881,15947,27617,31123,27233
2,1000,0,474527,15947,27617,42557,34849
2,1000,0,356202,15947,27617,38855,27617
2,1000,0,474484,15947,27617,31221,27233
2,1000,0,451037,15947,27617,23521,20937
2,1000,0,550359,15947,27617,23409,27233
2,1000,0,600679,15947,27617,15947,18641
2,1000,0,486237,15947,27617,27393,34839
2,1000,0,623041,15947,27617,31049,27233
2,1000,0,497400,15947,27617,23641,21577
2,1000,0,707954,15947,27617,15947,18641
2,1000,0,703968,15947,27617,15947,18641
2,1000,0,653803,15947,27617,15947,18641
2,1000,0,707414,15947,27617,30991,27233
2,1000,0,722909,15947,27617,15947,18641
2,1000,0,802813,15947,27617,23581,29211
2,1000,0,899654,15947,27617,31127,27233
2,1000,0,818864,15947,27617,23653,29311
2,1000,0,849220,15947,27617,23601,21577
2,1000,0,925754,15947,27617,27188,27233
2,1000,0,1105255,15947,27617,30839,27233
2,1000,0,956979,15947,27617,31143,34829
2,1000,0,1002155,15947,27617,31133,27233
2,1000,0,1009600,15947,27617,23425,27233
2,1000,0,1060860,15947,27617,39025,27617
2,1000,0,1216817,15947,27617,34946,21577
2,1000,0,1170399,15947,27617,15947,18641
2,1000,0,1258444,15947,27617,23441,27233
2,1000,0,1207086,15947,27617,23159,28789
2,1000,0,1147771,15947,27617,23523,29153
2,1000,0,1308081,15947,27617,23539,29169
2,1000,0,1349163,15947,27617,31209,21577
2,1000,0,1360679,15947,27617,15947,18641
2,1000,0,1366033,15947,27617,19739,19071
2,1000,0,1300927,15947,27617,31161,29169
2,1000,0,1510564,15947,27617,31295,29157
2,1000,0,1519035,15947,27617,31053,27233
2,1000,0,1560616,15947,27617,23565,29195
2,1000,0,1453772,15947,27617,38755,27617
2,1000,0,1514182,15947,27617,23615,27233
2,1000,0,1725939,15947,27617,15947,18641
2,1000,0,1677358,15947,27617,23441,29071
2,1000,0,1630897,15947,27617,27435,21577
2,1000,0,1641917,15947,27617,19755,19071
2,1000,0,1717540,15947,27617,38659,29121
2,1000,0,1773932,15947,27617,27311,29143
2,1000,0,1844096,15947,27617,38725,27313
2,1000,0,1879043,15947,27617,38179,27617
2,1000,0,1831872,15947,27617,27002,28631
2,1000,0,1757853,15947,27617,23181,28811
2,1000,0,1979881,15947,27617,30849,27233
2,1000,0,2008763,15947,27617,27346,29133
2,1000,0,1940643,15947,27617,15947,18641
2,1000,0,2070276,15947,27617,30521,27233
2,1000,0,2016121,15947,27617,31165,27233
2,1000,0,2087644,15947,27617,30491,27233
2,1000,0,2093652,15947,27617,27329,27233
2,1000,0,2224711,15947,27617,30989,27233
2,1000,0,2209129,15947,27617,23197,28827
2,1000,0,2122406,15947,27617,30647,27233
2,1000,0,2378521,15947,27617,30973,27233
2,1000,0,2359789,15947,27617,27389,29207
2,1000,0,2289048,15947,27617,30349,27233
2,1000,0,2254908,15947,27617,30557,27233
2,1000,0,2243254,15947,27617,30687,27233
2,1000,0,2414560,15947,27617,38289,27233
2,1000,0,2465517,15947,27617,23317,27233
2,1000,0,2458458,15947,27617,38515,27233
