NumberOfServers,NumberOfRequests,Lmbda,Eta,OptCost,DC,LDC,RobustFtp
50,1000,0,0,9479,14603,9479,11689
50,1000,0,0,9479,14603,9479,11689
50,1000,0,0,9479,14603,9479,11689
50,1000,0,0,9479,14603,9479,11689
50,1000,0,0,9479,14603,9479,11689
50,1000,0,6505,9479,14603,9479,11689
50,1000,0,2484,9479,14603,10566,12648
50,1000,0,13736,9479,14603,10560,12770
50,1000,0,26013,9479,14603,10576,12664
50,1000,0,28426,9479,14603,11671,13881
50,1000,0,39369,9479,14603,10578,12660
50,1000,0,54412,9479,14603,12849,14945
50,1000,0,52284,9479,14603,12105,13907
50,1000,0,44251,9479,14603,11634,13474
50,1000,0,56872,9479,14603,11360,13404
50,1000,0,66322,9479,14603,11438,13502
50,1000,0,78496,9479,14603,14216,15322
50,1000,0,64624,9479,14603,11794,13830
50,1000,0,74498,9479,14603,13536,15400
50,1000,0,85292,9479,14603,14650,16462
50,1000,0,105208,9479,14603,12184,14076
50,1000,0,95931,9479,14603,14743,16619
50,1000,0,96245,9479,14603,12715,14477
50,1000,0,85783,9479,14603,11953,13603
50,1000,0,113729,9479,14603,16224,18070
50,1000,0,120461,9479,14603,13858,15316
50,1000,0,137768,9479,14603,15277,17123
50,1000,0,135093,9479,14603,17999,25193
50,1000,0,115933,9479,14603,14224,16022
50,1000,0,142176,9479,14603,13848,15688
50,1000,0,169104,9479,14603,13872,15796
50,1000,0,157679,9479,14603,13243,15107
50,1000,0,154950,9479,14603,12524,14414
50,1000,0,157604,9479,14603,17869,21191
50,1000,0,170613,9479,14603,19409,25829
50,1000,0,196291,9479,14603,13354,15184
50,1000,0,170679,9479,14603,13294,14094
50,1000,0,197241,9479,14603,15753,16315
50,1000,0,186195,9479,14603,16053,16547
50,1000,0,199036,9479,14603,16569,19433
50,1000,0,200763,9479,14603,15076,16512
50,1000,0,200806,9479,14603,15321,17165
50,1000,0,208406,9479,14603,15123,17007
50,1000,0,201054,9479,14603,13622,15484
50,1000,0,225867,9479,14603,16419,18967
50,1000,0,232313,9479,14603,14998,16638
50,1000,0,229465,9479,14603,15687,16967
50,1000,0,234345,9479,14603,18972,21335
50,1000,0,230141,9479,14603,14382,15984
50,1000,0,239054,9479,14603,14720,16720
50,1000,0.1,0,9479,14603,10211.008056640625,11689
50,1000,0.1,0,9479,14603,10211.008056640625,11689
50,1000,0.1,0,9479,14603,10211.008056640625,11689
50,1000,0.1,0,9479,14603,10211.008056640625,11689
50,1000,0.1,0,9479,14603,10211.008056640625,11689
50,1000,0.1,6505,9479,14603,10211.008056640625,11689
50,1000,0.1,2484,9479,14603,10691.16162109375,12648
50,1000,0.1,13736,9479,14603,10238.990966796875,12770
50,1000,0.1,26013,9479,14603,10327.930419921875,12664
