NumberOfServers,NumberOfRequests,Lmbda,Eta,OptCost,DC,LDC,RobustFtp
10,1000,0,0,8685,11439,8685,10155
10,1000,0,0,8685,11439,8685,10155
10,1000,0,0,8685,11439,8685,10155
10,1000,0,0,8685,11439,8685,10155
10,1000,0,0,8685,11439,8685,10155
10,1000,0,0,8685,11439,8685,10155
10,1000,0,0,8685,11439,8685,10155
10,1000,0,0,8685,11439,8685,10155
10,1000,0,0,8685,11439,8685,10155
10,1000,0,0,8685,11439,8685,10155
10,1000,0,25769,8685,11439,8685,10155
10,1000,0,540000,8685,11439,8685,10155
10,1000,0,7,8685,11439,8685,10155
10,1000,0,601609,8685,11439,9287,10757
10,1000,0,52914,8685,11439,8999,10155
10,1000,0,51012,8685,11439,8873,13565
10,1000,0,183732,8685,11439,8879,10349
10,1000,0,89255,8685,11439,8685,10155
10,1000,0,482165,8685,11439,8701,10155
10,1000,0,61166,8685,11439,8685,10155
10,1000,0,719654,8685,11439,8901,10371
10,1000,0,904210,8685,11439,8685,10155
10,1000,0,773659,8685,11439,10771,12241
10,1000,0,978536,8685,11439,10811,11929
10,1000,0,927104,8685,11439,10575,12045
10,1000,0,883052,8685,11439,8685,10155
10,1000,0,994339,8685,11439,8685,10155
10,1000,0,1132025,8685,11439,8697,10155
10,1000,0,898558,8685,11439,8685,10155
10,1000,0,1217601,8685,11439,8865,10335
10,1000,0,1394040,8685,11439,8685,10155
10,1000,0,1792264,8685,11439,8889,10359
10,1000,0,1671524,8685,11439,8685,10155
10,1000,0,1576407,8685,11439,8685,10155
10,1000,0,1524517,8685,11439,8881,10351
10,1000,0,1763489,8685,11439,8685,10155
10,1000,0,1817076,8685,11439,8697,10167
10,1000,0,1786647,8685,11439,9119,10589
10,1000,0,1711143,8685,11439,8685,10155
10,1000,0,1428040,8685,11439,8685,10155
10,1000,0,2432639,8685,11439,8903,10359
10,1000,0,1977773,8685,11439,8685,10155
10,1000,0,2220171,8685,11439,10603,12073
10,1000,0,2018622,8685,11439,8885,10355
10,1000,0,2192705,8685,11439,10631,12101
10,1000,0,1962492,8685,11439,10665,12103
10,1000,0,2536560,8685,11439,8695,10155
10,1000,0,2516201,8685,11439,10631,11911
10,1000,0,2314050,8685,11439,10457,11911
10,1000,0,2014203,8685,11439,8691,10155
10,1000,0,2858312,8685,11439,9667,14617
10,1000,0,2687440,8685,11439,8703,10155
10,1000,0,2935805,8685,11439,10807,12119
10,1000,0,2860923,8685,11439,8685,10155
10,1000,0,3179284,8685,11439,10583,11911
10,1000,0,3253132,8685,11439,10785,12005
10,1000,0,2872294,8685,11439,10619,11911
10,1000,0,2976659,8685,11439,8871,10341
10,1000,0,3196219,8685,11439,9071,10531
10,1000,0,3115561,8685,11439,8695,10155
10,1000,0,3745589,8685,11439,10633,12089
10,1000,0,3714096,8685,11439,10803,15757
10,1000,0,3659291,8685,11439,10785,12089
10,1000,0,3381734,8685,11439,11037,15919
10,1000,0,3488816,8685,11439,8685,10155
10,1000,0,3684889,8685,11439,8778,10232
10,1000,0,3769633,8685,11439,8889,10357
10,1000,0,3802929,8685,11439,9315,10785
10,1000,0,3599508,8685,11439,9081,10539
10,1000,0,3894169,8685,11439,10847,12283
10,1000,0,4494093,8685,11439,9459,10359
10,1000,0,4248623,8685,11439,10449,11901
10,1000,0,4433394,8685,11439,9095,10565
10,1000,0,4170584,8685,11439,8703,10167
10,1000,0,4078810,8685,11439,10809,12265
10,1000,0,4247711,8685,11439,10583,11911
10,1000,0,3908341,8685,11439,9057,10355
10,1000,0,4357839,8685,11439,10815,15321
10,1000,0,4084101,8685,11439,11159,12085
10,1000,0,4383104,8685,11439,10959,12079
10,1000,0,4711506,8685,11439,10627,11911
10,1000,0,4669576,8685,11439,9035,10155
10,1000,0,4750049,8685,11439,8715,10171
10,1000,0,5102009,8685,11439,10881,11925
10,1000,0,5156585,8685,11439,9107,10549
10,1000,0,5204754,8685,11439,10885,12183
10,1000,0,4968361,8685,11439,10817,12115
10,1000,0,5081842,8685,11439,11045,16033
10,1000,0,4883356,8685,11439,10583,11911
10,1000,0,4681864,8685,11439,8685,10155
10,1000,0,5784564,8685,11439,10707,12161
10,1000,0,5726409,8685,11439,8715,10155
10,1000,0,5297895,8685,11439,10677,12089
10,1000,0,5422779,8685,11439,8699,10169
10,1000,0,5737283,8685,11439,10557,12019
10,1000,0,5600214,8685,11439,10679,12095
10,1000,0,5673853,8685,11439,11185,16073
10,1000,0,5681998,8685,11439,10629,12089
10,1000,0,5713288,8685,11439,8709,10155
10,1000,0,5725770,8685,11439,9479,14433
10,1000,0,6261673,8685,11439,9097,10383
10,1000,0,6193514,8685,11439,10997,12467
10,1000,0,5943200,8685,11439,10861,12317
10,1000,0,5871818,8685,11439,11101,12053
10,1000,0,6379280,8685,11439,10889,12005
10,1000,0,6202003,8685,11439,9051,10155
10,1000,0,5862666,8685,11439,10815,12261
10,1000,0,6299587,8685,11439,10655,12101
10,1000,0,6296990,8685,11439,10671,12115
10,1000,0,6215923,8685,11439,10635,12045
10,1000,0,6994495,8685,11439,8913,10359
10,1000,0,6539326,8685,11439,10751,12211
10,1000,0,7056242,8685,11439,10687,11965
10,1000,0,6772929,8685,11439,12571,14005
10,1000,0,7114510,8685,11439,10617,12043
10,1000,0,7144660,8685,11439,10781,12251
10,1000,0,7068210,8685,11439,10845,12095
10,1000,0,6745942,8685,11439,12295,13749
10,1000,0,7078142,8685,11439,10473,11911
10,1000,0,6562991,8685,11439,10677,12091
10,1000,0,7796688,8685,11439,9273,10711
10,1000,0,7224418,8685,11439,10889,12293
10,1000,0,7669065,8685,11439,8823,10285
10,1000,0,7186868,8685,11439,8719,10155
10,1000,0,7468084,8685,11439,11143,16041
10,1000,0,7232477,8685,11439,12463,13779
10,1000,0,7770433,8685,11439,10695,12087
10,1000,0,7674051,8685,11439,10499,11923
10,1000,0,7323592,8685,11439,10795,12235
10,1000,0,7259484,8685,11439,11216,12524
10,1000,0,8415504,8685,11439,10998,12298
10,1000,0,8054415,8685,11439,10849,12225
10,1000,0,8103378,8685,11439,10878,12344
10,1000,0,8351841,8685,11439,8709,10155
10,1000,0,8287582,8685,11439,9057,10513
10,1000,0,8382279,8685,11439,10393,11925
10,1000,0,8122790,8685,11439,10863,12121
10,1000,0,8008873,8685,11439,8709,10155
10,1000,0,8435940,8685,11439,10896,12186
10,1000,0,7840544,8685,11439,11145,12087
10,1000,0,8551853,8685,11439,11003,15863
10,1000,0,8974959,8685,11439,10489,11923
10,1000,0,8519405,8685,11439,10913,12195
10,1000,0,8633679,8685,11439,10749,12137
10,1000,0,8508815,8685,11439,10503,11929
10,1000,0,8823824,8685,11439,11083,15915
10,1000,0,8474975,8685,11439,11015,11917
10,1000,0,9081197,8685,11439,11259,15997
10,1000,0,8682360,8685,11439,10849,11935
10,1000,0,8954980,8685,11439,10473,11925
10,1000,0,9658478,8685,11439,13055,17729
10,1000,0,9421108,8685,11439,8877,10341
10,1000,0,9577624,8685,11439,10801,12089
10,1000,0,9232589,8685,11439,9269,10351
10,1000,0,9158491,8685,11439,12481,13775
10,1000,0,9601889,8685,11439,10693,12187
10,1000,0,9201360,8685,11439,9257,14211
10,1000,0,9616395,8685,11439,10669,12081
10,1000,0,9206962,8685,11439,10669,12105
10,1000,0,9631765,8685,11439,11343,12225
10,1000,0,10242495,8685,11439,10483,11927
10,1000,0,10080610,8685,11439,8794,10238
10,1000,0,10097876,8685,11439,11214,12190
10,1000,0,10276693,8685,11439,10817,12085
10,1000,0,10301486,8685,11439,10839,11915
10,1000,0,9777777,8685,11439,10649,15327
10,1000,0,9850233,8685,11439,11185,12479
10,1000,0,9832051,8685,11439,11115,12203
10,1000,0,9934568,8685,11439,10617,11921
10,1000,0,10159153,8685,11439,11005,12261
10,1000,0,10673950,8685,11439,12373,13779
10,1000,0,10914186,8685,11439,10803,15479
10,1000,0,10677147,8685,11439,11141,15881
10,1000,0,10925322,8685,11439,10889,12341
10,1000,0,10498143,8685,11439,9281,10743
10,1000,0,10429143,8685,11439,10905,12027
10,1000,0,10428732,8685,11439,9271,10369
10,1000,0,10789296,8685,11439,10561,11911
10,1000,0,10705552,8685,11439,11435,12363
10,1000,0,10583673,8685,11439,11090,12174
10,1000,0,11126129,8685,11439,11019,15893
10,1000,0,11536251,8685,11439,12607,13813
10,1000,0,11256935,8685,11439,11105,12051
10,1000,0,11342193,8685,11439,8810,10240
10,1000,0,11098654,8685,11439,10631,11923
10,1000,0,11149361,8685,11439,10737,12075
10,1000,0,11170569,8685,11439,10889,11925
10,1000,0,11266033,8685,11439,10931,12005
10,1000,0,11319959,8685,11439,9277,13967
10,1000,0,11203932,8685,11439,10997,12277
10,1000,0,11864552,8685,11439,8804,10240
10,1000,0,11753054,8685,11439,8699,10165
10,1000,0,12214593,8685,11439,10657,12091
10,1000,0,11889262,8685,11439,10839,15751
10,1000,0,12048809,8685,11439,11265,15901
10,1000,0,11889550,8685,11439,10605,11911
10,1000,0,11764069,8685,11439,10691,12087
10,1000,0,12020415,8685,11439,10785,12069
10,1000,0,11752787,8685,11439,11239,12501
10,1000,0,12111815,8685,11439,10969,15823
10,1000,0.2,0,8685,11439,9802.281494140625,10155
10,1000,0.2,0,8685,11439,9802.281494140625,10155
10,1000,0.2,0,8685,11439,9802.281494140625,10155
10,1000,0.2,0,8685,11439,9802.281494140625,10155
10,1000,0.2,0,8685,11439,9802.281494140625,10155
10,1000,0.2,0,8685,11439,9802.281494140625,10155
10,1000,0.2,0,8685,11439,9802.281494140625,10155
10,1000,0.2,0,8685,11439,9802.281494140625,10155
10,1000,0.2,0,8685,11439,9802.281494140625,10155
10,1000,0.2,0,8685,11439,9802.281494140625,10155
10,1000,0.2,25769,8685,11439,9802.281494140625,10155
10,1000,0.2,540000,8685,11439,9802.281494140625,10155
10,1000,0.2,7,8685,11439,9802.281494140625,10155
10,1000,0.2,601609,8685,11439,9833.962158203125,10757
10,1000,0.2,52914,8685,11439,9761.88037109375,10155
10,1000,0.2,51012,8685,11439,9710.670654296875,13565
10,1000,0.2,183732,8685,11439,9823.40185546875,10349
10,1000,0.2,89255,8685,11439,9802.281494140625,10155
10,1000,0.2,482165,8685,11439,9812.841552734375,10155
10,1000,0.2,61166,8685,11439,9802.281494140625,10155
10,1000,0.2,719654,8685,11439,9800.361572265625,10371
10,1000,0.2,904210,8685,11439,9802.281494140625,10155
10,1000,0.2,773659,8685,11439,9801.32177734375,12241
10,1000,0.2,978536,8685,11439,9807.32177734375,11929
10,1000,0.2,927104,8685,11439,9908.841552734375,12045
10,1000,0.2,883052,8685,11439,9802.281494140625,10155
10,1000,0.2,994339,8685,11439,9802.281494140625,10155
10,1000,0.2,1132025,8685,11439,9817.161865234375,10155
10,1000,0.2,898558,8685,11439,9802.281494140625,10155
10,1000,0.2,1217601,8685,11439,9886.76123046875,10335
10,1000,0.2,1394040,8685,11439,9802.281494140625,10155
10,1000,0.2,1792264,8685,11439,9855.08154296875,10359
10,1000,0.2,1671524,8685,11439,9802.281494140625,10155
10,1000,0.2,1576407,8685,11439,9802.281494140625,10155
10,1000,0.2,1524517,8685,11439,9907.881591796875,10351
10,1000,0.2,1763489,8685,11439,9802.281494140625,10155
10,1000,0.2,1817076,8685,11439,9817.7861328125,10167
10,1000,0.2,1786647,8685,11439,9814.76220703125,10589
10,1000,0.2,1711143,8685,11439,9802.281494140625,10155
10,1000,0.2,1428040,8685,11439,9802.281494140625,10155
10,1000,0.2,2432639,8685,11439,9837.48974609375,10359
10,1000,0.2,1977773,8685,11439,9802.281494140625,10155
10,1000,0.2,2220171,8685,11439,9807.08154296875,12073
10,1000,0.2,2018622,8685,11439,9897.32177734375,10355
10,1000,0.2,2192705,8685,11439,9832.041748046875,12101
10,1000,0.2,1962492,8685,11439,9823.40185546875,12103
10,1000,0.2,2536560,8685,11439,9796.521728515625,10155
10,1000,0.2,2516201,8685,11439,9816.68115234375,11911
10,1000,0.2,2314050,8685,11439,10008.57763671875,11911
10,1000,0.2,2014203,8685,11439,9809.55322265625,10155
10,1000,0.2,2858312,8685,11439,9819.201416015625,14617
10,1000,0.2,2687440,8685,11439,9819.921630859375,10155
10,1000,0.2,2935805,8685,11439,9827.840087890625,12119
10,1000,0.2,2860923,8685,11439,9802.281494140625,10155
10,1000,0.2,3179284,8685,11439,9893.481201171875,11911
10,1000,0.2,3253132,8685,11439,9942.6806640625,12005
10,1000,0.2,2872294,8685,11439,9809.000732421875,11911
10,1000,0.2,2976659,8685,11439,9865.6416015625,10341
10,1000,0.2,3196219,8685,11439,9874.28173828125,10531
10,1000,0.2,3115561,8685,11439,9796.521728515625,10155
10,1000,0.2,3745589,8685,11439,9830.120849609375,12089
10,1000,0.2,3714096,8685,11439,9897.70458984375,15757
10,1000,0.2,3659291,8685,11439,9895.20849609375,12089
10,1000,0.2,3381734,8685,11439,9793.880859375,15919
10,1000,0.2,3488816,8685,11439,9802.281494140625,10155
10,1000,0.2,3684889,8685,11439,9847.48974609375,10232
10,1000,0.2,3769633,8685,11439,9820.2177734375,10357
10,1000,0.2,3802929,8685,11439,9886.761962890625,10785
10,1000,0.2,3599508,8685,11439,9907.520751953125,10539
10,1000,0.2,3894169,8685,11439,9820.521728515625,12283
10,1000,0.2,4494093,8685,11439,9819.56201171875,10359
10,1000,0.2,4248623,8685,11439,9910.1845703125,11901
10,1000,0.2,4433394,8685,11439,9810.72900390625,10565
10,1000,0.2,4170584,8685,11439,9823.385986328125,10167
10,1000,0.2,4078810,8685,11439,9790.11962890625,12265
10,1000,0.2,4247711,8685,11439,9893.481201171875,11911
10,1000,0.2,3908341,8685,11439,9832.180908203125,10355
10,1000,0.2,4357839,8685,11439,9728.791748046875,15321
10,1000,0.2,4084101,8685,11439,9805.401611328125,12085
10,1000,0.2,4383104,8685,11439,9875.826171875,12079
10,1000,0.2,4711506,8685,11439,9814.52099609375,11911
10,1000,0.2,4669576,8685,11439,9788.12109375,10155
10,1000,0.2,4750049,8685,11439,9815.682373046875,10171
10,1000,0.2,5102009,8685,11439,9815.720947265625,11925
10,1000,0.2,5156585,8685,11439,9887.81982421875,10549
10,1000,0.2,5204754,8685,11439,9889.641357421875,12183
10,1000,0.2,4968361,8685,11439,9803.241455078125,12115
10,1000,0.2,5081842,8685,11439,10018.28125,16033
10,1000,0.2,4883356,8685,11439,9811.697998046875,11911
10,1000,0.2,4681864,8685,11439,9804.200927734375,10155
10,1000,0.2,5784564,8685,11439,9873.641357421875,12161
10,1000,0.2,5726409,8685,11439,9814.385498046875,10155
10,1000,0.2,5297895,8685,11439,10039.98193359375,12089
10,1000,0.2,5422779,8685,11439,9808.042236328125,10169
10,1000,0.2,5737283,8685,11439,9819.56103515625,12019
10,1000,0.2,5600214,8685,11439,9819.560791015625,12095
10,1000,0.2,5673853,8685,11439,9862.408203125,16073
10,1000,0.2,5681998,8685,11439,9814.76123046875,12089
10,1000,0.2,5713288,8685,11439,9823.8818359375,10155
10,1000,0.2,5725770,8685,11439,9889.512451171875,14433
10,1000,0.2,6261673,8685,11439,9819.561767578125,10383
10,1000,0.2,6193514,8685,11439,9842.600341796875,12467
10,1000,0.2,5943200,8685,11439,9867.25048828125,12317
10,1000,0.2,5871818,8685,11439,9811.696044921875,12053
10,1000,0.2,6379280,8685,11439,9822.440673828125,12005
10,1000,0.2,6202003,8685,11439,9803.969482421875,10155
10,1000,0.2,5862666,8685,11439,9856.305419921875,12261
10,1000,0.2,6299587,8685,11439,9829.90576171875,12101
10,1000,0.2,6296990,8685,11439,9873.384521484375,12115
10,1000,0.2,6215923,8685,11439,9886.56005859375,12045
10,1000,0.2,6994495,8685,11439,9832.042236328125,10359
10,1000,0.2,6539326,8685,11439,9815.721923828125,12211
10,1000,0.2,7056242,8685,11439,9821.377197265625,11965
10,1000,0.2,6772929,8685,11439,9840.44921875,14005
10,1000,0.2,7114510,8685,11439,9821.47998046875,12043
10,1000,0.2,7144660,8685,11439,9859.52099609375,12251
10,1000,0.2,7068210,8685,11439,10255.02490234375,12095
10,1000,0.2,6745942,8685,11439,10361.00830078125,13749
10,1000,0.2,7078142,8685,11439,9802.281494140625,11911
