NumberOfServers,NumberOfRequests,Lmbda,Eta,OptCost,DC,LDC,RobustFtp
2,1000,0,0,15947,27617,15947,18641
2,1000,0,0,15947,27617,15947,18641
2,1000,0,0,15947,27617,15947,18641
2,1000,0,0,15947,27617,15947,18641
2,1000,0,0,15947,27617,15947,18641
2,1000,0,0,15947,27617,15947,18641
2,1000,0,0,15947,27617,15947,18641
2,1000,0,0,15947,27617,15947,18641
2,1000,0,0,15947,27617,15947,18641
2,1000,0,0,15947,27617,15947,18641
2,1000,0,19170,15947,27617,15947,18641
2,1000,0,3849,15947,27617,15947,18641
2,1000,0,53648,15947,27617,15947,18641
2,1000,0,15386,15947,27617,15947,18641
2,1000,0,11478,15947,27617,15947,18641
2,1000,0,38401,15947,27617,23613,34899
2,1000,0,124429,15947,27617,15947,18641
2,1000,0,72732,15947,27617,23569,20937
2,1000,0,65201,15947,27617,19759,19071
2,1000,0,26805,15947,27617,15947,18641
2,1000,0,130071,15947,27617,23529,21577
2,1000,0,187678,15947,27617,15947,18641
2,1000,0,229570,15947,27617,23573,27233
2,1000,0,245006,15947,27617,15947,18641
2,1000,0,183408,15947,27617,15947,18641
2,1000,0,210524,15947,27617,19763,19071
2,1000,0,156866,15947,27617,15947,18641
2,1000,0,172396,15947,27617,23595,29225
2,1000,0,145585,15947,27617,23819,27233
2,1000,0,179757,15947,27617,23521,20937
2,1000,0,275434,15947,27617,23479,20937
2,1000,0,371094,15947,27617,23449,20937
2,1000,0,279239,15947,27617,19748,19071
2,1000,0,309853,15947,27617,15947,18641
2,1000,0,359741,15947,27617,23549,20937
2,1000,0,275473,15947,27617,23603,29261
2,1000,0,309829,15947,27617,23499,27233
2,1000,0,347763,15947,27617,23505,27233
2,1000,0,268046,15947,27617,15947,18641
2,1000,0,355851,15947,27617,23465,20937
2,1000,0,497250,15947,27617,15947,18641
2,1000,0,478025,15947,27617,23531,20937
2,1000,0,447297,15947,27617,15947,18641
2,1000,0,409042,15947,27617,15947,18641
2,1000,0,451580,15947,27617,23443,20937
2,1000,0,412866,15947,27617,15947,18641
2,1000,0,501798,15947,27617,23555,29185
2,1000,0,443286,15947,27617,23503,27233
2,1000,0,497392,15947,27617,15947,18641
2,1000,0,405680,15947,27617,23481,20937
2,1000,0,615814,15947,27617,23537,20937
2,1000,0,517790,15947,27617,23521,20937
2,1000,0,612062,15947,27617,23391,27233
2,1000,0,565906,15947,27617,15947,18641
2,1000,0,547271,15947,27617,15947,18641
2,1000,0,592678,15947,27617,15947,18641
2,1000,0,623704,15947,27617,30999,27617
2,1000,0,620165,15947,27617,34913,34815
2,1000,0,535650,15947,27617,15947,18641
2,1000,0,554349,15947,27617,31183,27233
2,1000,0,688629,15947,27617,23583,27233
2,1000,0,746172,15947,27617,23553,29183
2,1000,0,757986,15947,27617,23547,29177
2,1000,0,657652,15947,27617,23389,27233
2,1000,0,650044,15947,27617,31085,27233
2,1000,0,749845,15947,27617,15947,18641
2,1000,0,722599,15947,27617,23513,27233
2,1000,0,765222,15947,27617,23553,29183
2,1000,0,662003,15947,27617,23505,29135
2,1000,0,642715,15947,27617,31065,29173
2,1000,0,857046,15947,27617,23557,29187
2,1000,0,822509,15947,27617,23341,27233
2,1000,0,864516,15947,27617,23463,20937
2,1000,0,849400,15947,27617,15947,18641
2,1000,0,780564,15947,27617,23555,29185
2,1000,0,818773,15947,27617,31125,27233
2,1000,0,841568,15947,27617,23467,20937
2,1000,0,803124,15947,27617,15947,18641
2,1000,0,872501,15947,27617,31023,29175
2,1000,0,849112,15947,27617,15947,18641
2,1000,0,979211,15947,27617,23555,29185
2,1000,0,926102,15947,27617,15947,18641
2,1000,0,991198,15947,27617,31085,34839
2,1000,0,937067,15947,27617,27253,27233
2,1000,0,899182,15947,27617,23529,29159
2,1000,0,902930,15947,27617,23547,29177
